fund_id,transaction_date,transaction_type,amount,nav
1,28/07/2021,Purchase,999.9359504,48.9397
1,08/03/2021,Purchase,24999.76628,48.4749
1,08/12/2021,Purchase,24998.75741,48.4442
1,20/08/2021,Purchase,25000.7653,48.2933
1,15/09/2021,Purchase,50001.49163,52.2115
1,28/09/2021,Purchase,74996.22534,52.7502
1,10/07/2021,Purchase,24998.74027,52.6194
1,21/10/2021,Purchase,14999.24444,54.3197
1,16/11/2021,Purchase,15003.2725,55.1374
1,26/11/2021,Purchase,19998.99441,53.3463
1,16/12/2021,Purchase,13999.30126,54.3922
1,17/12/2021,Purchase,24998.72668,53.5048
1,23/12/2021,Purchase,20001.01492,53.5286
1,19/01/2022,Purchase,24998.72415,53.966
1,24/01/2022,Purchase,24998.73146,51.772
1,27/01/2022,Purchase,7999.575329,51.6695
1,28/04/2022,Purchase,9999.494576,50.6732
1,05/02/2022,Purchase,9999.48467,49.9622
1,05/06/2022,Purchase,9999.514708,49.0081
1,05/10/2022,Purchase,19999.00663,48.1193
1,10/10/2022,Purchase,24998.72837,50.6906
1,12/01/2022,Purchase,19999.00473,53.0001
5,16/03/2021,Purchase,999.860176,40.1228
5,22/11/2021,Purchase,19999.047,54.1178
5,29/11/2021,Purchase,9999.478622,52.5746
5,18/04/2022,Purchase,9998.12142,51.667
5,04/01/2023,Purchase,29997.93447,51.031
2,08/02/2021,Purchase,999.95349,12.962
2,08/03/2021,Purchase,49998.40573,12.971
2,08/11/2021,Purchase,24998.63385,12.895
2,18/08/2021,Purchase,25000.68948,13.078
2,09/08/2021,Purchase,49999.39545,13.407
2,20/09/2021,Purchase,50002.50015,13.402
2,29/09/2021,Purchase,25003.74879,13.367
2,10/01/2021,Purchase,24998.74484,13.303
2,10/06/2021,Purchase,24998.74816,13.304
2,21/10/2021,Purchase,14999.24618,13.476
2,15/11/2021,Purchase,19999.00543,13.615
2,16/12/2021,Purchase,10999.4543,13.314
2,17/12/2021,Purchase,14999.25566,13.228
2,19/01/2022,Purchase,14999.24383,13.541
2,27/01/2022,Purchase,4999.745869,12.907
8,22/11/2021,Purchase,9949.517886,117.0807
8,29/11/2021,Purchase,4999.75943,114.6392
8,30/11/2021,Purchase,5935.59909,114.1637
8,20/01/2022,Purchase,8063.075765,119.3893
8,24/01/2022,Purchase,19998.97679,115.3031
8,15/02/2022,Purchase,9999.507742,116.7853
8,15/02/2022,Purchase,4999.695478,116.7853
8,22/02/2022,Purchase,29998.53679,115.097
8,24/02/2022,Purchase,14631.09659,109.4151
8,08/03/2022,Purchase,14999.2228,107.8181
8,25/04/2022,Purchase,9999.509168,114.1275
9,22/11/2021,Purchase,9851.600368,15.5114
9,29/11/2021,Purchase,4999.746868,15.1777
9,30/11/2021,Purchase,8948.194731,15.141
9,20/01/2022,Purchase,4067.374058,15.5683
9,24/01/2022,Purchase,24998.75298,14.7405
9,15/02/2022,Purchase,9999.494718,14.9332
9,22/02/2022,Purchase,19998.9725,14.5625
9,24/02/2022,Purchase,14453.415,13.8619
9,08/07/2022,Purchase,9999.46926,13.9931
9,26/12/2022,Purchase,19998.99849,15.2371
6,14/03/2022,Purchase,23498.82589,10.0611
6,26/04/2022,Purchase,4999.749393,10.2523
6,16/05/2022,Purchase,23123.83856,9.729
6,25/05/2022,Purchase,4999.751982,9.9045
6,23/09/2022,Purchase,9999.44554,10.6255
6,04/01/2023,Purchase,19999.00499,11.1841
7,10/05/2022,Purchase,5998.216955,8.8863
7,16/05/2022,Purchase,24998.74976,8.9112
7,25/05/2022,Purchase,2999.849837,8.7153
7,08/07/2022,Purchase,11999.44613,9.0017
7,23/09/2022,Purchase,14999.29456,9.8289
7,01/12/2022,Purchase,29998.50433,9.7783
7,26/12/2022,Purchase,29998.50235,9.3186
7,04/04/2022,Purchase,6899.7,10
3,24/03/2022,Purchase,14999.25166,10.0837
3,07/06/2022,Purchase,19999.00274,10.2101
3,22/08/2022,Purchase,29998.50519,10.7807
4,11/04/2022,Purchase,30998.45,10
4,12/05/2022,Purchase,8999.549357,8.7488
4,06/07/2022,Purchase,19999.00106,8.8968
4,22/08/2022,Purchase,34998.25485,9.8491
4,10/10/2022,Purchase,29998.49808,9.6001
10,12/10/2021,Purchase,5004.6934,120.7638
10,29/10/2021,Purchase,14999.26459,118.7421
10,08/11/2021,Purchase,19999.01148,121.4129
10,11/11/2021,Purchase,18998.9956,120.1282
10,13/12/2021,Purchase,9999.484617,116.7414
10,28/12/2021,Purchase,8499.606701,115.8537
10,20/01/2022,Purchase,15999.2407,119.3893
10,28/02/2022,Purchase,4999.705856,113.0797
10,10/10/2022,Purchase,24998.70654,115.2811
11,02/11/2021,Purchase,19998.99864,15.4387
11,08/11/2021,Purchase,19999.00155,15.813
11,11/11/2021,Purchase,18999.04362,15.8401
11,13/12/2021,Purchase,9999.497266,15.4926
11,28/12/2021,Purchase,8499.58139,15.2346
11,19/01/2022,Purchase,15999.19941,15.5683
6,23/01/2023,Purchase,49997.52747,11.2568
1,23/01/2023,Purchase,49997.5,52.4271
7,16/02/2023,Purchase,49997.5,9.2597
6,17/02/2023,Purchase,49997.5,11.0761
4,28/02/2023,Purchase,24998.74776,9.2574
3,28/02/2023,Purchase,34998.25276,10.8328
12,10/03/2023,Purchase,24998.75,27.88327478
5,10/03/2023,Purchase,24998.75,52.53052176
