fund_id,transaction_date,transaction_type,amount,nav
15,25/08/2022,Purchase,29998.39576,252.88
15,22/09/2022,Purchase,14999.1705,254.75
15,27/09/2022,Purchase,14999.23205,248.27
15,11/11/2022,Purchase,19999.0251,264.38
15,21/11/2022,Purchase,9999.40732,263.17
15,24/11/2022,Purchase,29998.42368,266.17
15,26/12/2022,Purchase,29998.5254,261.4
15,17/01/2023,Purchase,29998.5446,263.8
15,13/02/2023,Purchase,29998.46768,263.32
16,22/08/2022,Purchase,17998.76214,38.97
16,22/09/2022,Purchase,8999.533454,40.6845
16,27/09/2022,Purchase,8999.565753,38.9735
16,11/11/2022,Purchase,17999.10913,39.7298
16,24/11/2022,Purchase,17999.09114,39.3019
16,26/12/2022,Purchase,17999.09851,38.3709
16,17/01/2023,Purchase,17999.11026,38.7718
16,13/02/2023,Purchase,17999.11152,35.13
14,22/08/2022,Purchase,11999.39072,279.68
14,22/09/2022,Purchase,5999.78615,283.45
14,27/09/2022,Purchase,5999.64879,274.37
14,27/10/2022,Purchase,11998.5045,292.29
14,24/11/2022,Purchase,11999.31384,301.46
14,26/12/2022,Purchase,11999.298,298.49
14,17/01/2023,Purchase,11999.30832,303.12
14,13/02/2023,Purchase,11999.44592,301.07
